deck_id;fitness;average;variance;
5666;1879;4.266666666666667;5.19555555556;
9389;3536;3.033333333333333;4.16555555556;
9514;2553;3.7333333333333334;6.39555555556;
9234;2906;3.9;4.82333333333;
8713;3373;3.3666666666666667;3.89888888889;
7236;1812;4.5;9.51666666667;
9907;2238;4.1;4.42333333333;
9581;2067;4.166666666666667;3.53888888889;
8901;3166;3.466666666666667;4.98222222222;
7948;3040;3.533333333333333;3.64888888889;
8267;3343;3.466666666666667;3.91555555556;
8536;3791;2.966666666666667;3.43222222222;
9557;3063;3.6;2.84;
8442;1877;4.5;5.65;
7971;3238;3.1;3.49;
9154;3627;3.2;3.56;
8035;4032;2.7666666666666666;3.91222222222;
6283;2184;4.133333333333334;5.31555555556;
8719;3098;3.2333333333333334;2.51222222222;
9642;2795;3.9;3.95666666667;
4295;3163;3.0;2.33333333333;
6572;3229;3.433333333333333;3.71222222222;
5606;2570;3.6;3.77333333333;
7934;2940;3.3;2.54333333333;
4169;2630;3.566666666666667;5.51222222222;
8672;3420;3.2666666666666666;4.59555555556;
9121;3002;3.7333333333333334;7.39555555556;
7003;2967;3.6666666666666665;4.08888888889;
9472;2646;3.8666666666666667;3.51555555556;
9163;3319;3.3;4.47666666667;
9275;3414;3.3;4.07666666667;
6435;2995;3.533333333333333;4.84888888889;
7731;3688;2.6666666666666665;3.75555555556;
8718;3001;3.7666666666666666;3.44555555556;
7681;3439;3.4;3.77333333333;
9887;3003;3.6333333333333333;3.96555555556;
5057;3466;3.033333333333333;4.76555555556;
9496;3174;3.3666666666666667;6.29888888889;
6889;3440;3.033333333333333;4.96555555556;
9994;3821;2.8666666666666667;2.51555555556;
9640;2713;4.066666666666666;7.39555555556;
9591;3031;3.9;6.02333333333;
9244;2150;4.2;5.36;
9360;3168;3.6333333333333333;6.83222222222;
9709;3737;3.033333333333333;3.83222222222;
8088;3168;3.433333333333333;4.37888888889;
6988;3168;3.3;5.74333333333;
7024;3235;3.3;6.54333333333;
9715;2906;3.7;2.67666666667;
5166;2709;3.7;3.81;
8746;2667;3.6333333333333333;5.29888888889;
9574;3172;3.3666666666666667;2.83222222222;
6772;2972;3.6333333333333333;4.56555555556;
9225;3324;3.2666666666666666;4.72888888889;
