deck_id;fitness;average;variance;
9652;1395;3.933333333333333;6.72888888889;
7130;2211;3.566666666666667;4.91222222222;
9504;1719;3.7333333333333334;4.39555555556;
7519;1988;4.133333333333334;6.24888888889;
7773;1515;3.8;5.82666666667;
8370;1470;3.7;4.81;
9801;1924;3.433333333333333;5.04555555556;
7247;1488;3.8;6.36;
7580;1883;3.5;4.85;
9449;1699;3.8333333333333335;5.60555555556;
7378;1542;4.066666666666666;7.26222222222;
7710;1772;3.533333333333333;3.51555555556;
7255;1725;3.566666666666667;5.51222222222;
5716;1655;3.8666666666666667;4.04888888889;
9845;2041;3.7333333333333334;6.39555555556;
7671;882;4.333333333333333;4.88888888889;
7421;1417;4.066666666666666;5.19555555556;
8992;2163;3.6666666666666665;4.68888888889;
6661;1600;4.2;5.42666666667;
9063;1335;3.6333333333333333;7.29888888889;
7810;1840;3.5;5.85;
7074;1207;4.333333333333333;9.68888888889;
9392;2228;3.6666666666666665;4.48888888889;
6955;987;3.566666666666667;8.64555555556;
8275;2070;3.533333333333333;4.51555555556;
8717;1819;3.4;4.57333333333;
4267;1584;3.6666666666666665;3.95555555556;
9633;2167;3.1333333333333333;3.64888888889;
9637;1254;3.8333333333333335;3.93888888889;
7622;1990;4.3;6.94333333333;
9693;1522;4.0;5.46666666667;
4304;1409;4.1;6.22333333333;
8867;1294;3.8333333333333335;6.53888888889;
6685;1789;3.966666666666667;3.89888888889;
9127;1638;3.3;5.47666666667;
6975;1286;3.8666666666666667;5.64888888889;
9125;1800;3.5;4.05;
8508;2042;3.5;3.31666666667;
6350;2125;3.6666666666666665;4.88888888889;
9207;2039;3.0;3.8;
9635;1697;3.7;3.54333333333;
5107;1583;3.6;5.90666666667;
7298;2067;3.7666666666666666;4.11222222222;
8073;1848;3.3333333333333335;4.48888888889;
9076;1861;3.3666666666666667;6.36555555556;
5034;1577;3.3666666666666667;4.16555555556;
6110;1841;3.9;4.75666666667;
6982;1925;3.533333333333333;3.84888888889;
6490;1930;3.3666666666666667;4.83222222222;
7662;1509;3.466666666666667;6.44888888889;
9505;1933;3.3666666666666667;5.03222222222;
8944;1577;3.5;5.38333333333;
8498;1637;3.433333333333333;6.77888888889;
7886;1116;4.0;4.93333333333;
7750;1773;3.466666666666667;6.24888888889;
6688;1919;3.3666666666666667;6.09888888889;
8553;1756;3.3333333333333335;5.88888888889;
9105;1768;3.7333333333333334;6.79555555556;
4971;1716;4.066666666666666;7.12888888889;
8189;1263;3.9;6.82333333333;
4207;1570;4.0;6.53333333333;
2662;1287;4.2;8.29333333333;
8943;1332;3.966666666666667;6.63222222222;
4193;1672;3.9;6.62333333333;
6651;1436;4.0;6.6;
9269;1467;4.033333333333333;6.96555555556;
5636;1953;4.066666666666666;6.59555555556;
4824;1144;4.133333333333334;6.71555555556;
8384;1583;3.8333333333333335;6.33888888889;
7798;2008;3.7666666666666666;4.84555555556;
9967;1390;3.8666666666666667;6.91555555556;
7857;1466;4.033333333333333;6.76555555556;
4141;1431;3.8;6.76;
9196;1822;3.9;6.69;
9138;1395;3.6333333333333333;6.23222222222;
8967;2188;3.8666666666666667;6.58222222222;
9695;1333;4.1;6.82333333333;
8584;1719;3.8333333333333335;6.07222222222;
9291;1928;3.966666666666667;6.76555555556;
