Light's Justice*Consecration*Consecration*Hammer of Wrath*Earthen Ring Farseer*Earthen Ring Farseer*Booty Bay Bodyguard*Razorfen Hunter*Frostwolf Warlord*The Black Knight*Young Priestess*Worgen Infiltrator*Sunwalker*Crazed Alchemist*Pint-Sized Summoner*Pint-Sized Summoner*Coldlight Seer*Emperor Cobra*Aldor Peacekeeper*Tirion Fordring*Tauren Warrior*Raging Worgen*Murloc Warleader*Nozdormu*Alexstrasza*Imp Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm*Stampeding Kodo*
GPUID:0-0 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999664649869534& turns:22 and average time of game (hh:mm:ss) = 00:00:08Time taken:00:00:08
GPUID:0-1 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999168471972& turns:19 and average time of game (hh:mm:ss) = 00:00:06Time taken:00:00:06
GPUID:0-10 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999999986112& turns:14 and average time of game (hh:mm:ss) = 00:00:08Time taken:00:00:08
GPUID:0-11 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999993855825398& turns:22 and average time of game (hh:mm:ss) = 00:00:10Time taken:00:00:10
GPUID:0-12 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999993855825398& turns:25 and average time of game (hh:mm:ss) = 00:00:08Time taken:00:00:08
GPUID:0-13 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:5.10908902803722E-12& turns:17 and average time of game (hh:mm:ss) = 00:00:05Time taken:00:00:05
GPUID:0-14 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999876605424014& turns:23 and average time of game (hh:mm:ss) = 00:00:09Time taken:00:00:09
GPUID:0-15 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:6.91440010693542E-13& turns:19 and average time of game (hh:mm:ss) = 00:00:06Time taken:00:00:06
GPUID:0-16 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999876605424014& turns:22 and average time of game (hh:mm:ss) = 00:00:07Time taken:00:00:07
GPUID:0-17 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.952574126822433& turns:17 and average time of game (hh:mm:ss) = 00:00:07Time taken:00:00:07
GPUID:0-18 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:4.53978687024344E-05& turns:21 and average time of game (hh:mm:ss) = 00:00:11Time taken:00:00:11
GPUID:0-19 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999999897381& turns:22 and average time of game (hh:mm:ss) = 00:00:05Time taken:00:00:05
GPUID:0-2 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999984770021& turns:18 and average time of game (hh:mm:ss) = 00:00:04Time taken:00:00:04
GPUID:0-20 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:1.87952881653555E-12& turns:16 and average time of game (hh:mm:ss) = 00:00:07Time taken:00:00:07
GPUID:0-21 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999664649869534& turns:20 and average time of game (hh:mm:ss) = 00:00:06Time taken:00:00:06
GPUID:0-22 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999958600625& turns:20 and average time of game (hh:mm:ss) = 00:00:06Time taken:00:00:06
GPUID:0-23 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999088948805599& turns:23 and average time of game (hh:mm:ss) = 00:00:09Time taken:00:00:09
GPUID:0-24 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999088948805599& turns:19 and average time of game (hh:mm:ss) = 00:00:10Time taken:00:00:10
GPUID:0-25 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.997527376843365& turns:25 and average time of game (hh:mm:ss) = 00:00:13Time taken:00:00:13
GPUID:0-26 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999999241744& turns:13 and average time of game (hh:mm:ss) = 00:00:04Time taken:00:00:04
GPUID:0-27 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:1.87952881653555E-12& turns:15 and average time of game (hh:mm:ss) = 00:00:04Time taken:00:00:04
GPUID:0-3 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999997938846& turns:21 and average time of game (hh:mm:ss) = 00:00:09Time taken:00:00:09
GPUID:0-4 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999694097773& turns:24 and average time of game (hh:mm:ss) = 00:00:12Time taken:00:00:12
GPUID:0-5 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:3.05902226925625E-07& turns:18 and average time of game (hh:mm:ss) = 00:00:05Time taken:00:00:05
GPUID:0-6 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: LOST / Player2:WONhealthdiff:5.60279640614594E-09& turns:20 and average time of game (hh:mm:ss) = 00:00:08Time taken:00:00:08
GPUID:0-7 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999983298578152& turns:20 and average time of game (hh:mm:ss) = 00:00:10Time taken:00:00:10
GPUID:0-8 Game Deck:0: start player=RehHausZuckFuchsPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999088948805599& turns:24 and average time of game (hh:mm:ss) = 00:00:11Time taken:00:00:11
GPUID:0-9 Game Deck:0: start player=FitzVonGeraldPaladin, Game: {game.State}, Player1: WON / Player2:LOSThealthdiff:0.999999994397204& turns:17 and average time of game (hh:mm:ss) = 00:00:07Time taken:00:00:07
