('Animal Companion',);0.995
('Bluegill Warrior',);0.9225
('Earthen Ring Farseer',);0.965
('Knife Juggler',);0.5125
('Leeroy Jenkins',);0.84
('Lightwarden',);0.8
('Mountain Giant',);0.685
('Murloc Tidehunter',);0.5175
('Questing Adventurer',);0.5675
('Ravenholdt Assassin',);0.5925
('Reckless Rocketeer',);0.7675
('River Crocolisk',);0.5325
('Scavenging Hyena',);0.5425
('Starving Buzzard',);0.6525
('Stormpike Commando',);0.74
('Tauren Warrior',);0.68
('The Black Knight',);0.8825
('Wolfrider',);0.76
('Worgen Infiltrator',);0.52
('Ysera',);0.8325
('Animal Companion', 'Bluegill Warrior');0.9175
('Animal Companion', 'Earthen Ring Farseer');0.96
('Animal Companion', 'Knife Juggler');0.51
('Animal Companion', 'Leeroy Jenkins');0.84
('Animal Companion', 'Lightwarden');0.795
('Animal Companion', 'Mountain Giant');0.685
('Animal Companion', 'Murloc Tidehunter');0.5125
('Animal Companion', 'Questing Adventurer');0.5625
('Animal Companion', 'Ravenholdt Assassin');0.5925
('Animal Companion', 'Reckless Rocketeer');0.7625
('Animal Companion', 'River Crocolisk');0.53
('Animal Companion', 'Scavenging Hyena');0.5425
('Animal Companion', 'Starving Buzzard');0.65
('Animal Companion', 'Stormpike Commando');0.7375
('Animal Companion', 'Tauren Warrior');0.675
('Animal Companion', 'The Black Knight');0.8775
('Animal Companion', 'Wolfrider');0.755
('Animal Companion', 'Worgen Infiltrator');0.5175
('Animal Companion', 'Ysera');0.8275
('Bluegill Warrior', 'Earthen Ring Farseer');0.8875
('Bluegill Warrior', 'Leeroy Jenkins');0.765
('Bluegill Warrior', 'Lightwarden');0.735
('Bluegill Warrior', 'Mountain Giant');0.625
('Bluegill Warrior', 'Questing Adventurer');0.5075
('Bluegill Warrior', 'Ravenholdt Assassin');0.535
('Bluegill Warrior', 'Reckless Rocketeer');0.6975
('Bluegill Warrior', 'Scavenging Hyena');0.5075
('Bluegill Warrior', 'Starving Buzzard');0.59
('Bluegill Warrior', 'Stormpike Commando');0.7
('Bluegill Warrior', 'Tauren Warrior');0.61
('Bluegill Warrior', 'The Black Knight');0.8075
('Bluegill Warrior', 'Wolfrider');0.705
('Bluegill Warrior', 'Ysera');0.7575
('Earthen Ring Farseer', 'Leeroy Jenkins');0.82
('Earthen Ring Farseer', 'Lightwarden');0.77
('Earthen Ring Farseer', 'Mountain Giant');0.6675
('Earthen Ring Farseer', 'Murloc Tidehunter');0.5
('Earthen Ring Farseer', 'Questing Adventurer');0.545
('Earthen Ring Farseer', 'Ravenholdt Assassin');0.5775
('Earthen Ring Farseer', 'Reckless Rocketeer');0.745
('Earthen Ring Farseer', 'River Crocolisk');0.5225
('Earthen Ring Farseer', 'Scavenging Hyena');0.525
('Earthen Ring Farseer', 'Starving Buzzard');0.635
('Earthen Ring Farseer', 'Stormpike Commando');0.7225
('Earthen Ring Farseer', 'Tauren Warrior');0.6625
('Earthen Ring Farseer', 'The Black Knight');0.8525
('Earthen Ring Farseer', 'Wolfrider');0.7325
('Earthen Ring Farseer', 'Ysera');0.8025
('Leeroy Jenkins', 'Lightwarden');0.6525
('Leeroy Jenkins', 'Mountain Giant');0.6325
