deck,card,number of times played
Exp1_Hunter_Aggro,Earthen Ring Farseer,68477
Exp1_Hunter_Aggro,The Coin,60476
Exp1_Hunter_Aggro,Animal Companion,52309
Exp1_Hunter_Aggro,Nightblade,40784
Exp1_Hunter_Aggro,Wisp,34573
Exp1_Hunter_Aggro,Stormpike Commando,32871
Exp1_Hunter_Aggro,Unleash the Hounds,29389
Exp1_Hunter_Aggro,Southsea Deckhand,29139
Exp1_Hunter_Aggro,Murloc Raider,29043
Exp1_Hunter_Aggro,Priestess of Elune,29038
Exp1_Hunter_Aggro,Worgen Infiltrator,28980
Exp1_Hunter_Aggro,Young Priestess,28916
Exp1_Hunter_Aggro,Dark Iron Dwarf,26625
Exp1_Hunter_Aggro,Timber Wolf,26384
Exp1_Hunter_Aggro,Hungry Crab,26154
Exp1_Hunter_Aggro,Leper Gnome,23881
Exp1_Hunter_Aggro,Reckless Rocketeer,19133
Exp1_Hunter_Aggro,River Crocolisk,17153
Exp1_Hunter_Aggro,Kobold Geomancer,16948
Exp1_Hunter_Aggro,Pint-Sized Summoner,16705
Exp1_Hunter_Aggro,Arcane Golem,13892
Exp1_Hunter_Aggro,Eaglehorn Bow,13766
Exp1_Hunter_Aggro,Razorfen Hunter,9002
Exp1_Hunter_Aggro,Bananas,7123
Exp1_Hunter_Aggro,Defender of Argus,7007
Exp1_Hunter_Aggro,Tundra Rhino,5798
Exp1_Hunter_Aggro,Abomination,4833
Exp1_Hunter_Aggro,Silvermoon Guardian,4309
Exp1_Hunter_Aggro,Fen Creeper,1628
Exp1_Hunter_Aggro,Snake Trap,183
Exp1_Hunter_Aggro,Mortal Coil,128
Exp1_Hunter_Control,Knife Juggler,74454
Exp1_Hunter_Control,Pint-Sized Summoner,73968
Exp1_Hunter_Control,Flesheating Ghoul,68069
Exp1_Hunter_Control,The Coin,60808
Exp1_Hunter_Control,Sen,50667
Exp1_Hunter_Control,Booty Bay Bodyguard,49568
Exp1_Hunter_Control,Stormpike Commando,48580
Exp1_Hunter_Control,Sunwalker,45162
Exp1_Hunter_Control,Voodoo Doctor,40707
Exp1_Hunter_Control,Ironforge Rifleman,40083
Exp1_Hunter_Control,Earthen Ring Farseer,39591
Exp1_Hunter_Control,Dire Wolf Alpha,38908
Exp1_Hunter_Control,Worgen Infiltrator,38886
Exp1_Hunter_Control,Bloodfen Raptor,38690
Exp1_Hunter_Control,Young Priestess,38476
Exp1_Hunter_Control,Wild Pyromancer,38245
Exp1_Hunter_Control,Bloodsail Corsair,38095
Exp1_Hunter_Control,Lightwarden,37848
Exp1_Hunter_Control,Priestess of Elune,37298
Exp1_Hunter_Control,Scavenging Hyena,37006
Exp1_Hunter_Control,Bloodsail Raider,36830
Exp1_Hunter_Control,Venture Co. Mercenary,35587
Exp1_Hunter_Control,Master Swordsmith,34858
Exp1_Hunter_Control,Lorewalker Cho,32799
Exp1_Hunter_Control,Argent Commander,30610
Exp1_Hunter_Control,Demolisher,27408
