,Exp1_Hunter_Aggro,Exp1_Hunter_Control,Exp1_Paladin_Aggro,Exp1_Paladin_Control,Exp1_Warlock_Aggro,Exp1_Warlock_Control,Exp2_Hunter_Aggro,Exp2_Hunter_Control,Exp2_Paladin_Aggro,Exp2_Paladin_Control,Exp2_Warlock_Aggro,Exp2_Warlock_Control
Exp1_Hunter_Aggro,0.4892,0.059,0.1067,0.0283,0.0914,0.048,0.4858,0.0528,0.1071,0.0606,0.0822,0.0395
Exp1_Hunter_Control,0.9403,0.5022,0.392,0.2875,0.5787,0.3722,0.9313,0.3458,0.448,0.2464,0.5392,0.3967
Exp1_Paladin_Aggro,0.8923,0.6025,0.4881,0.407,0.5756,0.5705,0.873,0.6553,0.4449,0.4879,0.5408,0.5209
Exp1_Paladin_Control,0.9713,0.7078,0.5783,0.5043,0.7219,0.5782,0.9478,0.5928,0.6008,0.4333,0.7181,0.6754
Exp1_Warlock_Aggro,0.9097,0.4106,0.4204,0.2824,0.4997,0.3621,0.8807,0.3617,0.3765,0.2919,0.3765413533834586,0.3801503759398496
Exp1_Warlock_Control,0.9518796992481203,0.6275689223057644,0.42446115288220554,0.41543859649122805,0.6365914786967418,0.5007518796992482,0.911578947368421,0.40731829573934836,0.43398496240601503,0.33904761904761904,0.5948872180451128,0.5468671679197995
Exp2_Hunter_Aggro,0.5149874686716792,0.06576441102756893,0.11669172932330828,0.05092731829573935,0.11037593984962406,0.08300751879699247,0.4956390977443609,0.07067669172932331,0.10165413533834586,0.08832080200501254,0.10195488721804512,0.04631578947368421
Exp2_Hunter_Control,0.9419548872180451,0.6422055137844611,0.3379448621553885,0.3431578947368421,0.6360902255639098,0.4936340852130326,0.9238095238095239,0.5000501253132832,0.4593483709273183,0.32280701754385965,0.5746365914786967,0.5196992481203008
Exp2_Paladin_Aggro,0.888421052631579,0.5274185463659148,0.5546867167919799,0.3971929824561404,0.6273684210526316,0.5604010025062657,0.8935338345864662,0.5340350877192982,0.4938345864661654,0.45403508771929824,0.569423558897243,0.46456140350877195
Exp2_Paladin_Control,0.9443609022556391,0.7554887218045113,0.5028571428571429,0.5712280701754386,0.6871177944862156,0.650827067669173,0.9114786967418547,0.5789473684210527,0.5538847117794486,0.4926315789473684,0.6731829573934837,0.724110275689223
Exp2_Warlock_Aggro,0.9183959899749373,0.4589473684210526,0.463859649122807,0.2712781954887218,0.6171428571428571,0.40270676691729324,0.9013533834586466,0.42526315789473684,0.4257644110275689,0.3197994987468672,0.48601503759398496,0.454937343358396
Exp2_Warlock_Control,0.9593984962406015,0.6075187969924812,0.47097744360902255,0.3364411027568922,0.6058145363408521,0.4546365914786967,0.9531829573934837,0.44902255639097743,0.5290225563909774,0.2667669172932331,0.5422110552763819,0.5020100502512563
